exact_score_accuracy,goal_mae,goal_difference_mae,outcome_accuracy,brier_score,log_loss,match_id,model
0,1.0,0,1,0.22160000000000002,0.4780358009429998,M43,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.5064000000000001,0.8675005677047231,M44,meta/llama-3.1-8b-instruct-fast
0,2.0,4,1,0.22160000000000002,0.4780358009429998,M45,meta/llama-3.1-8b-instruct-fast
0,1.5,1,0,1.2505999999999997,1.8325814637483102,M46,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.5064000000000001,0.8675005677047231,M47,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.30499999999999994,0.5978370007556204,M48,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.22640000000000002,0.4780358009429998,M49,meta/llama-3.1-8b-instruct-fast
0,1.5,1,1,0.30499999999999994,0.5978370007556204,M50,meta/llama-3.1-8b-instruct-fast
0,2.0,0,1,0.11180000000000001,0.31471074483970024,M51,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.5064000000000001,0.8675005677047231,M52,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.5064000000000001,0.8675005677047231,M53,meta/llama-3.1-8b-instruct-fast
0,1.5,3,0,0.5954,0.9942522733438669,M54,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,0.5954,0.9942522733438669,M55,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,0.7063999999999999,1.1394342831883648,M56,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.45780000000000004,0.7985076962177716,M57,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.9815999999999999,1.4271163556401458,M58,meta/llama-3.1-8b-instruct-fast
0,1.5,1,0,0.49140000000000006,0.843970070294529,M59,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.905,1.3862943611198906,M60,meta/llama-3.1-8b-instruct-fast
0,1.5,3,0,0.7063999999999999,1.1394342831883648,M61,meta/llama-3.1-8b-instruct-fast
0,2.5,5,0,0.49140000000000006,0.843970070294529,M62,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.905,1.3862943611198906,M63,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.6943999999999999,1.1394342831883648,M64,meta/llama-3.1-8b-instruct-fast
0,2.0,2,1,0.44060000000000005,0.7765287894989963,M65,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.8285999999999999,1.3470736479666092,M66,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.45780000000000004,0.7985076962177716,M67,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.22160000000000002,0.4780358009429998,M68,meta/llama-3.1-8b-instruct-fast
0,1.5,1,0,0.8264,1.3470736479666092,M69,meta/llama-3.1-8b-instruct-fast
